,Carbon_Type,Conc_Carbon,Gly_OG,Met_Prod
0,1,0.20387037037037037,0.9973333333333333,0.2966666666666667
1,3,0.31199999999999994,0.40800000000000003,0.5233333333333333
2,4,0.976574358974359,0.056,0.07666666666666666
3,5,0.4604693333333333,0.5706666666666668,0.26
4,9,0.13830526315789474,0.7306666666666667,0.18
5,10,0.9946666666666667,0.18933333333333335,0.7
6,12,0.9669999999999999,0.17600000000000002,0.69
7,13,0.856,0.648,0.72
8,16,0.7428444444444445,0.6693333333333333,0.26666666666666666
9,17,0.4266666666666667,0.5973333333333334,0.14333333333333334
10,18,0.36,0.37333333333333335,0.4033333333333333
