,Carbon_Type,Conc_Carbon [uL],Gly_OG [uL],Met_Prod [uL]
0,Sorbitol,4.682192913893756,20.77512417922716,36.786576368980754
1,Xylitol,44.577034355197945,195.76748822476006,66.5576501616365
2,Glucose,6.517532080494016,137.46421981944204,281.6912861630783
3,Mannose,2.876189055731662,29.988068202461697,285.4707406794821
4,Pyruvate,126.19445824091977,355.35811934555693,289.1196221561215
5,Xylose,222.2255592343821,15.797656090713629,195.58675250257832
6,D-Arabinose,59.1785244415709,303.02955068218483,11.405223148983053
7,Rhamnose,0.08994498917454831,8.253847389021335,242.13958688749358
8,Lactose,43.199489095862596,23.865987551666894,147.93690822200813
9,Citrate,249.2765843056067,34.56161480038579,53.404496332046456
10,Glycerol ,3.101056437537104,20.56031042729793,6.590238984436996
