,Carbon_Type,Conc_Carbon [g/L],Gly_OG [%],Met_Prod [%]
0,Sorbitol,47.0436111111111,0.96,7.3
1,Mannitol,49.50416666666666,9.333333333333332,7.733333333333333
2,Glucose,28.999999999999996,0.666666666666666,3.566666666666667
3,Mannose,41.892820512820514,0.053333333333333004,1.866666666666666
4,Pyruvate,49.92333333333332,2.133333333333333,5.033333333333333
5,Xylose,29.495714285714286,9.973333333333333,8.2
6,Galactose,1.000888888888885,9.84,1.8
7,Rhamnose,48.8,0.7199999999999999,6.833333333333333
8,Lactose,47.0,3.2,1.933333333333333
9,Ribose,0.0,0.266666666666666,2.666666666666666
10,Citrate,47.41463414634146,7.226666666666667,8.8
