,Carbon_Type,Conc_Carbon,Gly_OG,Met_Prod,Glu_OG,Tween_OG,Glu_Prod,Tween_Prod,pH
0,4,0.22194871794871796,0.029333333333333336,0.84,0.885,0.5666666666666667,0.245,0.9166666666666666,0.8846153846153846
1,5,0.2419813333333333,0.9520000000000001,0.24,0.23166666666666666,0.43333333333333335,0.4583333333333333,0.8,1.0
2,6,0.7626773333333332,0.9653333333333334,0.5133333333333333,0.6116666666666667,0.65,0.21833333333333332,0.45,0.9230769230769231
3,7,0.5943833333333334,0.4453333333333333,0.13333333333333333,0.26666666666666666,0.016666666666666666,0.5066666666666667,0.43333333333333335,1.0
4,8,0.03503111111111111,0.3546666666666667,0.82,0.023333333333333334,0.13333333333333333,0.5166666666666667,0.25,0.9230769230769231
5,10,0.33066666666666666,0.13066666666666668,0.3,0.33,0.55,0.965,0.3,0.9230769230769231
6,11,0.8263111111111112,0.448,0.20333333333333334,0.07166666666666667,0.6666666666666666,0.29333333333333333,0.7833333333333333,0.8846153846153846
7,12,0.21599999999999997,0.8720000000000001,0.09,0.5666666666666667,0.6833333333333333,0.6633333333333333,0.7666666666666667,0.9230769230769231
8,13,0.296,0.12266666666666669,0.5066666666666667,0.3333333333333333,0.8333333333333334,0.365,0.95,0.9230769230769231
9,17,0.32,0.3413333333333334,0.38666666666666666,0.44333333333333336,0.5833333333333334,0.37,0.08333333333333333,1.0
10,0,0.0,0.4,0.15,0.0,0.15,0.0,0.35,1.0
