,Carbon_Type,Conc_Carbon [uL],Gly_OG [uL],Met_Prod [uL],Glu_OG [uL],Tween_OG [uL],Glu_Prod [uL],Tween_Prod [uL],pH
0,Citrate,232.80894688982858,146.76614907122865,24.048539415224354,376.4712716436038,36.70950160960552,382.53464740103215,7.388991716957921,6.2924466077438845
1,Sorbitol,25.96237231152645,26.44986989920943,69.71464757300367,492.20657613419723,21.357930947169525,193.88725481665847,30.13495806712029,6.131867960747615
2,D-Arabinose,93.29015684799231,302.41220964445336,162.1042033634914,23.891276065791274,15.211844941488739,540.1750109377402,59.45959533084969,6.238136060593359
3,Ethanol,79.09357612104856,82.0313824660857,98.39589690956971,240.80693238966688,35.35524188283751,200.26327194759418,7.361889759209333,6.365907548209348
4,Sucrose,60.97957668893885,363.803361922766,0.4487112292248475,311.81701457171596,31.795246011461522,431.8779520724813,40.543120409060954,5.98197371799103
5,Rhamnose,370.49662776057016,215.37709287858098,65.23903993738796,27.150303805620204,38.47012109379057,159.11973133410226,37.432077829663825,5.905805241413033
6,Glucose,11.974695270796342,52.61760796099104,143.9093419407754,544.6116082732838,12.978410966974977,326.9816159182585,2.99434535906573,6.286573133747717
7,Sucrose,241.30116050946788,182.50317738629704,114.91563568063988,57.661647805560065,48.333259169863986,102.94543211677339,43.298112450044,5.813768758745074
8,Ethanol,55.65167723578229,174.55642899318113,120.94353974087585,203.31845085178895,35.21007601447231,225.81175126086325,12.827849712055075,6.3878559094402165
9,Ethanol,47.07995407341187,133.88187322118853,166.35651725909267,304.72967489142735,31.631670244032193,271.48124762720244,2.4376716283493383,6.473849827950888
