,Carbon_Type,Conc_Carbon [g/L],Gly_OG [%],Met_Prod [%],Glu_OG [mM],Tween_OG [%],Glu_Prod [mM],Tween_Prod [%],pH
0,Mannose,11.097435897435895,0.29333333333333306,8.4,44.25,0.5666666666666667,12.25,0.9166666666666666,5.75
1,Pyruvate,12.099066666666666,9.519999999999998,2.4,11.58333333333333,0.4333333333333333,22.916666666666664,0.8,6.5
2,Fructose,38.13386666666666,9.653333333333334,5.133333333333333,30.583333333333336,0.65,10.916666666666664,0.45,6.000000000000001
3,Xylose,29.71916666666667,4.453333333333333,1.333333333333333,13.33333333333333,0.0166666666666666,25.333333333333336,0.4333333333333333,6.5
4,Galactose,1.751555555555555,3.546666666666667,8.2,1.166666666666665,0.1333333333333333,25.833333333333336,0.25,6.000000000000001
5,Rhamnose,16.53333333333333,1.3066666666666658,3.0,16.5,0.55,48.25,0.3,6.000000000000001
6,Sucrose,41.31555555555556,4.48,2.033333333333333,3.58333333333333,0.6666666666666666,14.666666666666664,0.7833333333333333,5.75
7,Lactose,10.799999999999994,8.720000000000002,0.9,28.333333333333332,0.6833333333333333,33.166666666666664,0.7666666666666667,6.000000000000001
8,Trehalose,14.799999999999999,1.2266666666666661,5.066666666666667,16.666666666666664,0.8333333333333334,18.25,0.95,6.000000000000001
9,Glycerol ,3.2,3.413333333333334,3.866666666666666,22.166666666666664,0.5833333333333334,18.5,0.0833333333333333,6.5
10,Sorbitol,0.0,4.0,1.5,0.0,0.15,0.0,0.35,6.5
