,Carbon_Type,Conc_Carbon [uL],Gly_OG [uL],Met_Prod [uL]
0,Mannose,108.1330869,150,90
1,Pyruvate,255.3916005,150,90
2,Sucrose,241.0714286,150,90
3,Fructose,99.91119005,150,90
4,Sorbitol,138.5948027,150,90
5,Citrate,153.75,150,90
6,Succinate,221.3114754,150,90
7,Ribose,140.0106553,150,90
8,Mannose,108.1330869,37.5,30
9,Pyruvate,255.3916005,37.5,30
10,Sucrose,241.0714286,37.5,30
11,Fructose,99.91119005,37.5,30
12,Sorbitol,138.5948027,37.5,30
13,Citrate,153.75,37.5,30
14,Succinate,221.3114754,37.5,30
15,Ribose,140.0106553,37.5,30
16,Sorbitol,51.97305101,11.25,45
17,Xylose,17.60229085,4.484488875,32.033436
18,D-Arabinose,40.41106771,27.90341325,55.5422289
19,Galactose,170.5152339,21.51263663,53.8911825
20,Xylose,93.8977106,5.628118125,43.9219698
21,D-Arabinose,170.406183,17.11871362,39.9324099
22,Galactose,426.171431,18.62625,43.7711763
23,D-Arabinose,0.030521268,131.7284888,22.4118846
