,Carbon_Type,Conc_Carbon [uL],Gly_OG [uL],Met_Prod [uL]
0,Sorbitol,50.142716633173855,11.9998535257931,45.88119051621839
1,Xylitol,47.372078896271546,3.789028600420435,30.253059858570076
2,Glucose,56.87846469440362,6.415890352899298,11.613864370252521
3,Galactose,47.65995009890764,13.125740335152551,15.069942475402641
4,D-Arabinose,82.94904564373843,13.621687975867527,45.664572133400256
5,Rhamnose,104.44335101697325,11.964942676017062,16.336614157179774
6,Lactose,198.06607678718834,42.20393946018655,16.066022983056957
7,Trehalose,112.82347026186233,17.810946081453917,74.47185031954618
8,Citrate,47.76149480961077,8.711472149096249,38.36338817380165
9,Succinate,17.55017167434796,15.398509133901493,64.09929117681963
10,Glycerol ,6.882606363443793,41.37503383500871,11.16277826242358
