,Carbon_Type,Conc_Carbon [g/L],Gly_OG [%],Met_Prod [%]
0,Mannose,30.00000001,4,3
1,Pyruvate,30.00000001,4,3
2,Sucrose,30,4,3
3,Fructose,30,4,3
4,Sorbitol,40,4,3
5,Citrate,30,4,3
6,Succinate,30,4,3
7,Ribose,30,4,3
8,Mannose,30.00000001,1,1
9,Pyruvate,30.00000001,1,1
10,Sucrose,30,1,1
11,Fructose,30,1,1
12,Sorbitol,40,1,1
13,Citrate,30,1,1
14,Succinate,30,1,1
15,Ribose,30,1,1
16,Sorbitol,15,0.3,1.5
17,Xylose,3.933273801,0.11958637,1.0677812
18,D-Arabinose,6.65364685,0.74409102,1.85140763
19,Galactose,8.53334015,0.57367031,1.79637275
20,Xylose,20.981667,0.15008315,1.46406566
21,D-Arabinose,28.05722855,0.45649903,1.33108033
22,Galactose,21.3275125,0.4967,1.45903921
23,D-Arabinose,0.0050253,3.512759701,0.74706282
