,Carbon_Type,Conc_Carbon [g/L],Gly_OG [%],Met_Prod [%]
0,Galactose,28.99999999954667,3.0,1.5
1,Galactose,36.000000000817785,0.3,3.7
2,Xylose,15.999999999476188,0.4,1.4000000000000001
3,Galactose,46.00000000048889,4.8,4.2
4,Xylose,39.999999998690484,0.1,0.6
5,Galactose,20.999999998808892,0.0,2.1
6,D-Arabinose,10.500000000273682,0.3,4.2
7,Galactose,8.00000000073778,1.1,2.7
8,Galactose,10.499999999404446,0.2,1.1
9,Galactose,3.999999999868445,0.2,0.4
10,D-Arabinose,28.057857017543856,0.45653333333333307,1.3309999999999997
