,Carbon_Type,Conc_Carbon [uL],Gly_OG [uL],Met_Prod [uL]
0,Succinate,20.206562274590162,121.05096225,46.144340580000005
1,Lactose,26.318082000000004,113.61296954999996,92.02557524999997
2,Sorbitol,12.744831731665064,131.04882435,9.724494630000002
3,Sucrose,6.600483723214285,77.41193643749999,85.33479707999997
4,Sorbitol,4.112586807314726,113.7261487125,103.27834346999998
5,Sorbitol,25.112088453897968,107.42008605,46.76769243
6,D-Arabinose,10.061858537453384,131.29021852499997,23.28807492
7,Sorbitol,6.929740134744948,150.0,18.0
8,Xylitol,3.6644394810179826,125.97521276249995,88.96407927000001
9,Galactose,20.168177111456483,116.69717088749998,44.61849816
10,Sorbitol,138.59480269489896,150.0,45.0
