,Carbon_Type,Conc_Carbon,Gly_OG,Met_prod,Titer
8541,Succinate,2.739111775,3.22802566,1.538144686,64.55568281
2501,Lactose,1.3159041,3.029679188,3.067519175,64.05370305
8473,Succinate,3.908939464,2.668377284,0.284391495,63.12824656
5828,Sorbitol,3.678300047,3.494635316,0.324149821,63.07448233
2104,Lactose,0.076547248,2.887312667,5.252237116,63.00208274
2794,Lactose,2.093683077,2.26759962,4.666698072,62.78397864
3231,Succinate,4.339589628,2.482600531,4.315692872,62.47343399
5733,Succinate,7.49635488,3.088791478,3.404042254,62.34510288
3298,Sucrose,0.82139353,2.064318305,2.844493236,62.22477756
7718,Succinate,1.597128797,3.553866153,3.766144843,62.15865115
8192,Lactose,0.331580766,1.977621354,2.389520778,61.78728709
7923,Succinate,0.569213427,1.951125912,4.201290568,61.54996494
5543,Sucrose,0.940848105,2.348487206,3.731115204,61.54979801
3670,Sorbitol,1.186938248,3.032697299,3.442611449,61.43494891
5459,Succinate,0.233656002,1.805955254,3.756361936,61.42466555
5299,Succinate,2.22885703,1.827669638,3.639128207,61.39247595
6162,Succinate,1.548798994,2.448764432,5.096839886,61.26202631
4574,Succinate,11.4664914,2.491883267,3.249822933,61.25222384
8031,Succinate,10.00701988,2.42278089,0.628852391,61.24394024
3780,Succinate,1.049102686,3.423162705,4.668549573,61.19640347
7261,Succinate,2.748318475,3.63191726,3.820986606,60.86949147
2298,Lactose,6.630454079,2.72919744,1.574455264,60.65656467
8686,Succinate,6.699540111,2.477177632,4.731081944,60.55636507
1825,Sucrose,5.51709178,1.784865903,0.883245583,60.54360838
5930,Lactose,1.686641182,2.358774699,6.755001099,60.52322334
8498,Sorbitol,7.247627751,2.864535628,1.558923081,60.37738664
6230,Xylitol,0.929204134,3.359339007,2.965469309,60.30595726
5376,D-Arabinose,1.656676182,3.501072494,0.776269164,60.19547449
9199,Sucrose,3.200986119,1.8258777,3.122061844,60.16379036
3386,Succinate,7.141807051,1.689021745,1.202724678,60.08238695
8796,Sorbitol,7.151648893,3.341450701,2.179897468,59.94768224
2408,Lactose,6.385207252,3.590219273,2.354925821,59.7732392
7776,Lactose,11.09081692,2.573043079,3.898197963,59.76338342
449,Fructose,0.104062013,2.715918236,3.104804371,59.72788434
9013,Sucrose,5.643951818,1.593174276,2.043612808,59.6651658
5703,Lactose,7.705389364,1.918913396,2.449296325,59.55618191
9688,Lactose,1.648312762,1.355882331,3.055655267,59.49173519
9336,Succinate,9.117585188,3.40368217,0.841485379,59.46481359
5363,Lactose,11.13828391,2.053722312,5.262369076,59.41884768
8495,Lactose,5.264343428,2.821644171,6.268091366,59.35907248
9572,D-Arabinose,2.199201425,3.841599976,0.735851576,59.34914107
3756,Sucrose,0.242020017,3.625001631,4.371488976,59.18992903
2573,Galactose,1.009305219,3.111924557,1.487283272,59.18590172
7647,Lactose,6.732361777,3.470576407,1.022192437,59.01276603
6293,Lactose,5.378959348,2.258410701,0.623168638,59.00357238
4094,Sucrose,9.965529183,2.278910017,0.421927285,58.99474711
4025,Lactose,8.258844668,1.401384706,5.619694223,58.97106022
4896,Succinate,9.072829397,2.604414729,4.963669575,58.92092707
1958,Glycerol ,1.869193597,3.611169065,1.541394367,58.87112543
7435,Sucrose,6.090386132,1.670391632,2.819619933,58.85056293
