,Carbon_Type,Conc_Carbon [uL],Gly_OG [uL],Met_Prod [uL]
0,Sorbitol,163.26512106295758,68.0435674037785,281.9072580960187
1,Glucose,124.77952112080403,1.444471804493107,278.2243826436485
2,Mannose,4.557584495187699,149.64365882955735,58.713268622944526
3,Pyruvate,416.2275719434599,268.12773377153053,287.5893873012139
4,D-Arabinose,186.18502470637168,6.409593364347137,297.91492305414806
5,Rhamnose,313.59439129487475,7.903666012237595,241.27832205625032
6,Sucrose,341.3158716220556,45.68670121469333,238.8805162140349
7,Lactose,34.42030520899985,24.31415920358844,55.26695206785778
8,Citrate,13.724744770927956,308.63888794184766,0.6178300091322076
9,Succinate,22.398060628724316,218.63246568772936,0.20817712012755712
10,Ethanol,120.6485256201301,143.16353272336315,239.94841291225913
