,Carbon_Type,Conc_Carbon,Gly_OG,Met_Prod
0,0,0.18274855555555555,0.6853333333333335,0.6822
1,1,0.4282287037037037,0.7306666666666667,0.6655333333333333
2,2,0.7370362506666668,0.9546666666666668,0.6377666666666667
3,3,0.36663999999999997,0.184,0.3455333333333333
4,6,0.03002666666666666,0.048,0.43666666666666665
5,10,0.69776,0.5066666666666667,0.3922
6,12,0.42766,0.16266666666666668,0.6188666666666667
7,13,0.7262133333333333,0.30933333333333335,0.3111
8,14,0.23711052511415526,0.30666666666666664,0.86
9,16,0.48436711111111114,0.19466666666666668,0.3433333333333333
10,18,0.33773333333333333,0.17866666666666667,0.29109999999999997
