,Carbon_Type,Conc_Carbon [g/L],Gly_OG [%],Met_Prod [%]
0,Succinate,2.71111111111111,3.2266666666666675,1.5333333333333328
1,Lactose,1.2999999999999952,3.04,3.0666666666666655
2,Sorbitol,3.75194444444444,3.493333333333334,0.333333333333333
3,Sucrose,0.8711111111111101,2.0533333333333332,2.833333333333333
4,Sorbitol,1.1544444444444402,3.04,3.4333333333333336
5,Sorbitol,7.215277777777775,2.853333333333334,1.5666666666666658
6,D-Arabinose,1.6464912280701751,3.493333333333334,0.766666666666666
7,Sorbitol,2.020277777777775,4.0,0.6
8,Xylitol,1.01429333333333,3.36,2.966666666666667
9,Galactose,1.000888888888885,3.12,1.5
10,Sorbitol,40.11694444444444,4.0,1.5
