,Carbon_Type,Conc_Carbon [g/L],Gly_OG [%],Met_Prod [%]
0,Sorbitol,47.13885278,1.813333333,9.4
1,Glucose,24.932,0.053333333,9.277666667
2,Mannose,1.292851282,4,1.955333333
3,Pyruvate,48.90489733,7.146666667,9.588666667
4,D-Arabinose,30.67907105,0.16,9.933333333
5,Rhamnose,41.82133333,0.213333333,8.044333333
6,Sucrose,42.47662222,1.226666667,7.966666667
7,Lactose,1.7165,0.64,1.844333333
8,Citrate,2.665365854,8.213333333,0.022
9,Succinate,3.026955556,5.813333333,0.022
10,Ethanol,40.22,3.813333333,8
