,Condition,Titer,Specific Productivity,Prod_OD,OG_OD
0,Exp0,19.9196116942922,2.5376868558812458,7.888750076889991,3.3237499153614043
1,Exp1,0.7113784454500817,0.11240320982768306,6.376249898821115,2.3599999925494193
2,Exp2,38.96675646623227,3.925180786778097,9.873749964535236,3.1575000347942113
3,Exp3,10.557363343198016,2.0557538672979754,5.130000036805868,1.998750024139881
4,Exp4,19.633869918914975,4.18043468573084,4.758124981671571,2.3712499967217444
5,Exp5,24.96591376587528,4.042667112274049,6.169999853372573,2.808124988004565
6,Exp6,23.446743991612813,3.6754692756113707,6.348124888390302,3.340000004172325
7,Exp7,42.160179422186246,6.324743289801891,6.668750007301568,3.0287499973922967
8,Exp8,13.334717927620666,1.9723643562841207,6.730625030249357,1.7549999958276747
9,Exp9,18.430500444574207,2.5560501876062016,7.220000025480985,2.589999927803874
10,Exp10,0.6194444813079771,0.136676367205202,4.372500019744038,2.778750002980232
11,"BMGY, BMMY + Cells",42.10668453810732,5.747534101669863,7.389375005513429,2.3487499418109654
